platform,precision,test_type,parameter_name,parameter_value,median,p95,p99,std,unit,n_trials,timestamp
M1,F16,e2e_latency,output_length,32,1447.518,1473.9937,1480.1388,13.0827,ms,9,2026-04-14T11:11:14
M1,F16,e2e_latency,output_length,64,2789.1821,2800.5169,2802.4154,8.8444,ms,10,2026-04-14T11:11:14
M1,F16,e2e_latency,output_length,128,5499.455,5575.6996,5577.4017,43.3845,ms,9,2026-04-14T11:11:14
M1,F16,per_token_latency,context_length,64,42.4706,42.8534,42.9242,0.2415,ms,10,2026-04-14T11:11:14
M1,F16,per_token_latency,context_length,128,42.3096,43.7587,44.0634,0.6817,ms,9,2026-04-14T11:11:14
M1,F16,per_token_latency,context_length,256,43.7938,44.2189,44.2748,0.2396,ms,10,2026-04-14T11:11:14
M1,F16,per_token_latency,context_length,512,44.4445,44.8787,44.9546,0.2799,ms,9,2026-04-14T11:11:14
M1,F16,per_token_latency,context_length,1024,46.7288,47.7586,47.7962,0.5997,ms,10,2026-04-14T11:11:14
M1,F16,throughput,output_length,32,22.1584,22.2222,22.2243,0.1504,tokens/s,9,2026-04-14T11:11:14
M1,F16,throughput,output_length,64,21.8698,22.7465,22.8385,1.2911,tokens/s,9,2026-04-14T11:11:14
M1,F16,throughput,output_length,128,23.2672,23.3393,23.35,0.0778,tokens/s,8,2026-04-14T11:11:14
M1,F16,ttft,prompt_length,64,76.8013,77.2382,77.2585,0.4703,ms,8,2026-04-14T11:11:14
M1,F16,ttft,prompt_length,128,136.1289,137.0285,137.1477,0.9455,ms,9,2026-04-14T11:11:14
M1,F16,ttft,prompt_length,256,268.9728,271.2777,271.49,3.3858,ms,10,2026-04-14T11:11:14
M1,F16,ttft,prompt_length,512,561.7534,575.6645,579.2541,7.9575,ms,10,2026-04-14T11:11:14
M1,F16,ttft,prompt_length,1024,1165.4251,1184.9245,1189.123,10.2453,ms,9,2026-04-14T11:11:14
M1,Q4_K_M,e2e_latency,output_length,32,694.5944,696.5137,696.9745,1.9243,ms,9,2026-04-14T10:42:26
M1,Q4_K_M,e2e_latency,output_length,64,1249.375,1250.4332,1250.4974,2.1119,ms,10,2026-04-14T10:42:26
M1,Q4_K_M,e2e_latency,output_length,128,2363.0278,2364.9453,2365.0141,4.4823,ms,6,2026-04-14T10:42:26
M1,Q4_K_M,per_token_latency,context_length,64,17.339,17.3959,17.4045,0.0555,ms,10,2026-04-14T10:42:26
M1,Q4_K_M,per_token_latency,context_length,128,17.3858,17.6178,17.6232,0.1483,ms,9,2026-04-14T10:42:26
M1,Q4_K_M,per_token_latency,context_length,256,18.4074,18.5051,18.5232,0.0891,ms,10,2026-04-14T10:42:26
M1,Q4_K_M,per_token_latency,context_length,512,19.3459,19.424,19.426,0.075,ms,9,2026-04-14T10:42:26
M1,Q4_K_M,per_token_latency,context_length,1024,20.9274,21.156,21.1713,0.1262,ms,8,2026-04-14T10:42:26
M1,Q4_K_M,throughput,output_length,32,46.2012,46.2702,46.2782,0.108,tokens/s,9,2026-04-14T10:42:26
M1,Q4_K_M,throughput,output_length,64,51.2012,51.5614,51.5991,0.3535,tokens/s,9,2026-04-14T10:42:26
